Date,Description,Amount,Payment_Mode,Category
2025-01-10,Flight Booking,1282.73,UPI,Travel
2025-02-15,Big Bazaar Groceries,3211.7,UPI,Shopping
2025-02-12,Electronics Store,4289.68,UPI,Shopping
2025-01-30,Internet Bill,3514.77,UPI,Utilities
2025-01-18,Myntra Clothing,3892.02,Card,Shopping
2025-02-10,McDonald's,3571.95,Card,Food
2025-02-13,Spotify Premium,451.82,Card,Entertainment
2025-03-02,Hospital Bill,3604.93,Card,Health
2025-01-30,Gas Bill,133.97,Card,Utilities
2025-01-23,Health Insurance,787.71,Cash,Health
2025-02-07,Swiggy Delivery,3883.09,UPI,Food
2025-01-06,Train Ticket,3342.24,UPI,Travel
2025-02-06,Gas Bill,1914.21,Cash,Utilities
2025-01-23,Zomato Order,1454.61,UPI,Food
2025-01-21,Hospital Bill,2608.45,Cash,Health
2025-01-24,Gas Bill,1919.52,Cash,Utilities
2025-01-13,Electricity Bill,4949.68,UPI,Utilities
2025-01-06,BookMyShow Tickets,1008.56,Card,Entertainment
2025-01-24,Gas Bill,4265.75,NetBanking,Utilities
2025-02-09,Uber Ride,4727.62,Card,Travel
2025-01-07,Train Ticket,4789.47,Cash,Travel
2025-01-06,Ola Cab,3165.81,UPI,Travel
2025-01-08,Spotify Premium,1927.08,UPI,Entertainment
2025-01-21,Water Bill,539.9,NetBanking,Utilities
2025-01-14,Ola Cab,4750.04,Card,Travel
2025-02-05,Ola Cab,4581.34,NetBanking,Travel
2025-02-05,Mobile Recharge,2383.68,Card,Utilities
2025-02-09,Zomato Order,3770.19,UPI,Food
2025-01-25,Netflix Subscription,3506.28,Cash,Entertainment
2025-01-12,Ola Cab,1402.79,Cash,Travel
2025-01-13,Flipkart Order,526.92,Cash,Shopping
2025-01-02,Internet Bill,1303.7,UPI,Utilities
2025-02-04,Petrol Pump,3959.62,NetBanking,Travel
2025-02-18,Zomato Order,1353.89,NetBanking,Food
2025-03-02,Hospital Bill,2054.62,Cash,Health
2025-02-20,Metro Recharge,1331.89,Card,Travel
2025-01-14,Apollo Pharmacy,3105.19,Cash,Health
2025-02-23,Netflix Subscription,2845.41,Cash,Entertainment
2025-01-26,Cafe Coffee Day,2459.65,Card,Food
2025-01-11,Amazon Purchase,3234.8,Card,Shopping
2025-01-27,Train Ticket,3094.98,Card,Travel
2025-02-25,Doctor Consultation,187.59,Cash,Health
2025-03-02,Netflix Subscription,4040.68,UPI,Entertainment
2025-02-23,Water Bill,4109.74,NetBanking,Utilities
2025-01-23,Hospital Bill,3969.99,Cash,Health
2025-02-08,Flight Booking,3207,UPI,Travel
2025-01-25,Cafe Coffee Day,4654.92,NetBanking,Food
2025-02-17,Health Insurance,2018.68,Cash,Health
2025-01-14,Internet Bill,2562.33,UPI,Utilities
2025-01-27,Flight Booking,3362.55,UPI,Travel
2025-02-01,Ola Cab,2066.98,Cash,Travel
2025-01-03,PVR Cinemas,4091.93,UPI,Entertainment
2025-02-09,Medicine Store,3868.26,Cash,Health
2025-01-01,Spotify Premium,633.73,Cash,Entertainment
2025-01-31,Train Ticket,206.96,UPI,Travel
2025-02-23,Petrol Pump,4015.62,Cash,Travel
2025-02-24,Cafe Coffee Day,2165.98,Card,Food
2025-02-04,PVR Cinemas,2396.61,NetBanking,Entertainment
2025-02-24,Domino's Pizza,3982.62,Cash,Food
2025-02-15,Apollo Pharmacy,1240.13,NetBanking,Health
2025-01-21,Big Bazaar Groceries,3917.06,Card,Shopping
2025-01-29,Apollo Pharmacy,2023.98,UPI,Health
2025-01-02,Doctor Consultation,3374.21,Card,Health
2025-03-02,Health Insurance,3103.74,UPI,Health
2025-01-31,BookMyShow Tickets,3622.93,Cash,Entertainment
2025-01-12,Apollo Pharmacy,1402.4,Card,Health
2025-02-10,Myntra Clothing,1351.82,Card,Shopping
2025-02-07,PVR Cinemas,1803.59,UPI,Entertainment
2025-02-15,Gas Bill,224.43,Cash,Utilities
2025-01-22,Domino's Pizza,3187.38,UPI,Food
2025-01-05,Cafe Coffee Day,2476.83,Card,Food
2025-02-07,Zomato Order,2539.43,UPI,Food
2025-02-08,Myntra Clothing,2337.89,Cash,Shopping
2025-02-14,Mobile Recharge,678.79,UPI,Utilities
2025-02-10,Gas Bill,4594.45,NetBanking,Utilities
2025-01-21,Electricity Bill,4575.09,Card,Utilities
2025-01-19,Metro Recharge,1980.53,UPI,Travel
2025-02-20,Train Ticket,2018.64,Card,Travel
2025-02-16,PVR Cinemas,798.53,Card,Entertainment
2025-02-02,Medicine Store,627.78,UPI,Health
2025-01-02,BookMyShow Tickets,2327.18,Card,Entertainment
2025-01-28,McDonald's,2317.91,Card,Food
2025-01-26,Ola Cab,278.77,Cash,Travel
2025-01-14,Health Insurance,4001.29,Cash,Health
2025-01-04,Flipkart Order,2430.83,Card,Shopping
2025-02-21,Mobile Recharge,3358.9,Cash,Utilities
2025-01-20,Mobile Recharge,4800.4,NetBanking,Utilities
2025-01-24,Spotify Premium,4582.97,NetBanking,Entertainment
2025-02-04,Domino's Pizza,1291.47,Card,Food
2025-01-28,Domino's Pizza,1497.58,NetBanking,Food
2025-01-20,Cafe Coffee Day,2889.02,Cash,Food
2025-01-12,Domino's Pizza,3685.77,NetBanking,Food
2025-02-24,Domino's Pizza,4817.68,Cash,Food
2025-02-20,Big Bazaar Groceries,3856.94,NetBanking,Shopping
2025-02-19,Medicine Store,3081.79,NetBanking,Health
2025-02-11,McDonald's,1161.19,Card,Food
2025-01-03,Medicine Store,3701.09,NetBanking,Health
2025-02-07,Flight Booking,1769.28,NetBanking,Travel
2025-01-27,Doctor Consultation,2012.85,NetBanking,Health
2025-01-29,McDonald's,3018.11,Cash,Food
2025-02-02,PVR Cinemas,2306.5,Card,Entertainment
2025-02-02,Medicine Store,2471.49,NetBanking,Health
2025-01-25,Flipkart Order,4851.37,NetBanking,Shopping
2025-02-03,Petrol Pump,1504.27,UPI,Travel
2025-01-24,Apollo Pharmacy,1679.07,UPI,Health
2025-01-13,Netflix Subscription,1288.17,UPI,Entertainment
2025-02-26,McDonald's,3164.26,UPI,Food
2025-01-03,BookMyShow Tickets,4597.38,NetBanking,Entertainment
2025-02-12,Flight Booking,845.84,Card,Travel
2025-02-18,PVR Cinemas,2054.66,Cash,Entertainment
2025-03-02,Netflix Subscription,3755.33,Card,Entertainment
2025-01-23,PVR Cinemas,3169.69,UPI,Entertainment
2025-01-27,BookMyShow Tickets,4522.37,UPI,Entertainment
2025-01-23,Netflix Subscription,1370.26,Cash,Entertainment
2025-01-27,PVR Cinemas,483.79,NetBanking,Entertainment
2025-02-23,Big Bazaar Groceries,3892.77,Cash,Shopping
2025-02-12,Petrol Pump,829.77,NetBanking,Travel
2025-01-17,Mobile Recharge,3479.84,NetBanking,Utilities
2025-02-13,PVR Cinemas,4634.39,Card,Entertainment
2025-02-03,Water Bill,1433.59,NetBanking,Utilities
2025-01-16,Mobile Recharge,385.51,Card,Utilities
2025-02-13,Train Ticket,630.53,Cash,Travel
2025-02-21,Metro Recharge,4962.6,NetBanking,Travel
2025-01-08,Flight Booking,3257.03,Cash,Travel
2025-02-25,KFC,4417.45,Card,Food
2025-01-09,Water Bill,2880.6,NetBanking,Utilities
2025-01-16,Spotify Premium,4372.54,Card,Entertainment
2025-01-18,Internet Bill,2345.12,Card,Utilities
2025-02-05,Internet Bill,1755.91,Cash,Utilities
2025-02-18,Netflix Subscription,323.66,Card,Entertainment
2025-01-23,Netflix Subscription,1779.04,Card,Entertainment
2025-02-22,PVR Cinemas,1703.91,NetBanking,Entertainment
2025-01-26,Zomato Order,752.6,Cash,Food
2025-01-27,Big Bazaar Groceries,4685.88,NetBanking,Shopping
2025-02-17,Doctor Consultation,3114.1,Cash,Health
2025-02-19,Flipkart Order,3299.52,Card,Shopping
2025-02-01,Apollo Pharmacy,1144.54,NetBanking,Health
2025-02-18,KFC,2638.02,UPI,Food
2025-01-28,Spotify Premium,942.06,UPI,Entertainment
2025-01-01,Internet Bill,4432.63,UPI,Utilities
